Postmaterialism classes,,,,,Country group classes,,,
# classes,LL,# Par's,BIC,,# classes,LL,# Par's,BIC
1,-460512.7,9,-10346.1,,1,-447646.2,29,895616.3
2,-449836.9,19,-31586.2,,2,-444754.8,32,889867.0
3,-447646.2,29,-35855.8,,3,-443216.6,35,886824.1
4,-446211.1,39,-38614.4,,4,-442734.2,38,885892.8
5,-445246.3,49,-40432.4,,5,-442436.5,41,885330.9
6,-444776.4,59,-41260.3,,6,-442110.5,44,884712.3
7,-444384.0,69,-41933.4,,7,-441946.2,47,884417.3
8,-443959.8,79,-42670.2,,,,,
9,-443746.9,89,-42984.3,,,,,
10,-443470.8,99,-43424.9,,,,,
11,-443299.3,109,-43656.2,,,,,
12,-443086.0,119,-43971.0,,,,,
13,-442944.1,129,-44143.3,,,,,
14,-442837.3,139,-44245.2,,,,,
